method,masked_mae_mean,masked_mae_std,masked_rmse_mean,masked_rmse_std,runs,harm_rate_mean,harm_rate_vs_generic_mean,harm_rate_vs_backbone_mean,high_conflict_harm_rate_mean,alpha_mean,beta_eff_mean_mean,gain_vs_target_backbone_pct,gain_vs_generic_pct,paired_cases,phypro_final_wins_vs_generic,phypro_final_wins_vs_backbone
Target Backbone,0.5768954712490001,0.2689874206892811,1.0225152166646092,0.5568932433225349,54,,,,,,,0.0,-2.0157133745077416,54,54,53
GenericAdapter,0.565496679056854,0.26871044048232307,1.0070697075864172,0.5548744822584724,54,0.4008961655967879,,0.4008961655967879,,,,1.9758851924192289,0.0,54,54,53
RePAC,0.5368110876703939,0.2577631617642212,0.965195966024463,0.5383289105517415,54,0.3178265808003033,0.3178265808003033,0.33470732368335776,0.2718040943611945,1.5191656836756953,0.9228741165261768,6.948292294932052,5.072636577513146,54,54,53


