backbone,plugin,masked_mae_mean,masked_mae_std,gain_pct_mean,gain_pct_std,gate_mean,delta_abs_mean
MagiNet,GenericAdapter,0.5582794495346908,0.25676890868817515,2.4021087099503204,1.721527021320199,1.0,0.03489447984881437
MagiNet,CalibrationGuard,0.563024372125495,0.25467748666638673,1.3230014243507813,1.001977401311984,0.541388033495987,0.03528112020072035
MagiNet,FailureAnomalyGuard,0.5637220987927217,0.2535787594191894,1.093412424253503,0.8382156067746109,0.5558230705377415,0.033437984568393225
MagiNet,DoRAAdapter,0.5675061525870184,0.2558241775789666,0.5007845505921066,0.9496733046659793,1.0,0.018176750516515957
MagiNet,Backbone,0.5685281937123201,0.2515140413505833,0.0,0.0,,
SAITS,GenericAdapter,0.5742046384510735,0.28879456402696935,2.229496346597349,1.1007263553716173,1.0,0.026699403791004998
SAITS,CalibrationGuard,0.579380508145798,0.29113797680008036,1.3260336514169548,0.721568417658046,0.5424495511784927,0.02890723594375759
SAITS,FailureAnomalyGuard,0.5804210760951446,0.29157592938860905,1.1754647703132377,0.7064295983384732,0.5505246346831766,0.02435205732864075
SAITS,DoRAAdapter,0.5836039807483894,0.2935312406642291,0.6327367603765132,0.7103581034888481,1.0,0.013752526491045351
SAITS,Backbone,0.5867105564302114,0.2941410125312028,0.0,0.0,,


