method,masked_mae_mean,masked_mae_std,masked_rmse_mean,masked_rmse_std,runs,gate_mean,delta_abs_mean,gain_vs_target_backbone_pct
CalibrationGuard,0.5279354207166815,0.26087638921873035,0.8513145255277409,0.5065738832964782,180,0.5504823345815946,0.03762477459357094,0.9749012624580243
DoRAAdapter,0.5306727669563099,0.2609762423339991,0.8551278838875251,0.5072471003550658,180,1.0,0.019850103858445965,0.46145592232520094
FailureAnomalyGuard,0.5286424366889716,0.26075072428845286,0.8519795343817069,0.5065566263037555,180,0.5553427605322625,0.03423179222763682,0.8422859392239829
GenericAdapter,0.5239719755217853,0.26126506793284043,0.8467975233097284,0.506536540651842,180,1.0,0.03485185595906725,1.718326568592315
RePAC,0.498631791754095,0.24377969125618978,0.8109758879590626,0.4799931841585327,180,,,6.471396927494459
Target Backbone,0.53313294048404,0.258462072883959,0.8563456790833703,0.5033370491538889,180,,,0.0


