method,masked_mae_mean,masked_mae_std,masked_rmse_mean,masked_rmse_std,runs,harm_rate_mean,harm_rate_vs_generic_mean,harm_rate_vs_backbone_mean,high_conflict_harm_rate_mean,alpha_mean,beta_eff_mean_mean,gain_vs_target_backbone_pct,gain_vs_generic_pct,paired_cases,phypro_final_wins_vs_generic,phypro_final_wins_vs_backbone
Target Backbone,0.37927355097721877,0.30698997439037534,0.4969718251811936,0.3883565203423659,36,,,,,,,0.0,-0.4371866894969052,36,30,29
GenericAdapter,0.377622635080121,0.30379978399073676,0.4940325907320911,0.38382114070566603,36,0.49501408312882234,,0.49501408312882234,,,,0.4352836871551117,0.0,36,30,29
RePAC,0.36669962277955653,0.2997855559391406,0.4840931624964538,0.3818370604626983,36,0.4357915377561119,0.4357915377561119,0.4275203483233142,0.3767593153018297,1.4986581703027089,0.7652515000757131,3.3152662940151845,2.892573507477091,36,30,29


