method,masked_mae_mean,masked_mae_std,masked_rmse_mean,masked_rmse_std,runs,harm_rate_mean,alpha_mean,beta_eff_mean,gain_vs_target_backbone_pct,gain_vs_generic_pct
GenericAdapter,0.5224724651377264,0.2531263518227785,0.8445626001057149,0.4935838785740869,180,0.42107524584639544,,,1.8156525465180113,0.0
RePAC,0.498631791754095,0.24377969125618978,0.8109758879590626,0.4799931841585327,180,0.3354345405415844,1.5197775807645586,0.9225679746199514,6.295852203367683,4.56304876800481
Target Backbone,0.5321341727970078,0.25099778271326006,0.8550353517912981,0.49153805175303816,180,,,,0.0,-1.849228103673282


