variant,masked_mae_mean,masked_rmse_mean,rho_mean,beta_eff_mean,runs
learned_rho,0.5941622723708316,1.0331838329537588,0.6015394261729422,0.9020766125328306,54
constant_rho_same_mean,0.594395206170571,1.0337421756713443,0.6015394166938353,0.9044847535176748,54
constant_beta_eff_same_mean,0.5944693624630469,1.033846842761063,0.6015394166938353,0.9020766106553088,54
inverted_rho_mean_controlled,0.5950232171559026,1.0351652155437714,0.6015393988586344,0.901722483539286,54
shuffled_rho_same_distribution,0.5950402355355893,1.0346963623805177,0.5853056972458982,0.8810505950331112,54


